id,name,district_id
548,Ngesrep,44
549,Padangsari,44
550,Pedalangan,44
551,Pudakpayung,44
552,Srondol Kulon,44
553,Srondol Wetan,44
554,Sumurboto,44
555,Tinjomoyo,44
556,Candi,45
557,Jatingaleh,45
558,Jomblang,45
559,Kaliwiru,45
560,Karanganyar Gunung,45
561,Tegalsari,45
562,Wonotingal,45
563,Bendanduwur,46
564,Bendan Ngisor,46
565,Bendungan,46
566,Gajahmungkur,46
567,Karangrejo,46
568,Lempongsari,46
569,Petompon,46
570,Sampangan,46
571,Gayamsari,47
572,Kaligawe,47
573,Pandean Lamper,47
574,Sambirejo,47
575,Sawahbesar,47
576,Siwalan,47
577,Tambakrejo,47
578,Bangetayu Kulon,48
579,Bangetayu Wetan,48
580,Banjardowo,48
581,Gebangsari,48
582,Genuksari,48
583,Karangroto,48
584,Kudu,48
585,Muktiharjo Lor,48
586,Penggaron Lor,48
587,Sembungharjo,48
588,Terboyo Kulon,48
589,Terboyo Wetan,48
590,Trimulyo,48
591,Candirejo,49
592,Gunungpati,49
593,Jatirejo,49
594,Kalisegoro,49
595,Kandri,49
596,Mangunsari,49
597,Ngijo,49
598,Nongkosawit,49
599,Pakintelan,49
600,Patemon,49
601,Plalangan,49
602,Pongangan,49
603,Sadeng,49
604,Sekaran,49
605,Sukorejo,49
606,Sumurejo,49
607,Bubakan,50
608,Cangkiran,50
609,Jatibarang,50
610,Jatisari,50
611,Karangmalang,50
612,Kedungpane,50
613,Mijen,50
614,Ngadirgo,50
615,Pesantren,50
616,Polaman,50
617,Purwosari,50
618,Tambangan,50
619,Wonolopo,50
620,Wonoplumbon,50
621,Bambankerep,51
622,Bringin,51
623,Gondoriyo,51
624,Kalipancur,51
625,Ngaliyan,51
626,Podorejo,51
627,Purwoyoso,51
628,Tambakaji,51
629,Wonosari,51
630,Wates,51
631,Gemah,52
632,Kalicari,52
633,Muktiharjo Kidul,52
634,Palebon,52
635,Pedurungan Kidul,52
636,Pedurungan Lor,52
637,Pedurungan Tengah,52
638,Penggaron Kidul,52
639,Plamongan Sari,52
640,Tlogomulyo,52
641,Tlogosari Kulon,52
642,Tlogosari Wetan,52
643,Bojongsalaman,53
644,Bongsari,53
645,Cabean,53
646,Gisikdrono,53
647,Kalibanteng Kidul,53
648,Kalibanteng Kulon,53
649,Karangayu,53
650,Kembangarum,53
651,Krapyak,53
652,Krobokan,53
653,Manyaran,53
654,Ngemplak Simongan,53
655,Salaman Mloyo,53
656,Tambakharjo,53
657,Tawang Mas,53
658,Tawangsari,53
659,Barusari,54
660,Bulustalan,54
661,Lamper Kidul,54
662,Lamper Lor,54
663,Lamper Tengah,54
664,Mugassari,54
665,Peterongan,54
666,Pleburan,54
667,Randusari,54
668,Wonodri,54
669,Bangunharjo,55
670,Brumbungan,55
671,Gabahan,55
672,Jagalan,55
673,Karangkidul,55
674,Kauman,55
675,Kembangsari,55
676,Kranggan,55
677,Miroto,55
678,Pandansari,55
679,Pekunden,55
680,Pendrikan Kidul,55
681,Pendrikan Lor,55
682,Purwodinatan,55
683,Sekayu,55
684,Bugangan,56
685,Karangtempel,56
686,Karangturi,56
687,Kebonagung,56
688,Kemijen,56
689,Mlatibaru,56
690,Mlatiharjo,56
691,Rejomulyo,56
692,Rejosari,56
693,Sarirejo,56
694,Bandarharjo,57
695,Bulu Lor,57
696,Dadapsari,57
697,Kuningan,57
698,Panggung Kidul,57
699,Panggung Lor,57
700,Plombokan,57
701,Purwosari,57
702,Tanjung Mas,57
703,Bulusan,58
704,Jangli,58
705,Kedungmundu,58
706,Kramas,58
707,Mangunharjo,58
708,Meteseh,58
709,Rowosari,58
710,Sambiroto,58
711,Sendangguwo,58
712,Sendangmulyo,58
713,Tandang,58
714,Tembalang,58
715,Jerakah,59
716,Karanganyar,59
717,Mangkang Kulon,59
718,Mangkang Wetan,59
719,Mangunharjo,59
720,Randu Garut,59
721,Tugurejo,59
722,Cepoko,49
723,Unidentified Kota Semarang,51
724,Unidentified Kab Semarang,30
725,Bantal,35
726,Boto,35
